,temp,humidity,PM25,light,band1,band2,band3,band4,band5,band6,band7,lat,lon,dss
5016,31.555541666666667,63.911833333333334,1.6393333333333333,54.915166666666664,11928.270833333338,12785.6875,14020.645833333341,14978.979166666659,16532.416666666664,16028.1875,14353.0,41.88575,-87.62969,81
5017,20.816416666666665,67.13641666666668,0.496,67.301,11010.729166666662,11777.9375,13112.8125,13605.4375,15251.4375,15333.375,14046.354166666659,41.65849,-87.559113,81
5018,22.13841666666667,78.91516666666665,0.05533333333333334,80.31270833333333,10792.854166666668,11316.791666666662,12372.666666666662,12781.75,14466.5,14855.125,13800.25,41.722044,-87.60448199999999,81
5020,20.897458333333336,67.08641666666666,0.8759166666666669,66.71199999999999,10656.395833333332,11058.770833333338,12472.875,12832.0625,13144.708333333341,14240.4375,13420.645833333341,41.946731,-87.68825799999999,81
5021,22.338583333333336,100.0,0.045250000000000005,52.46304166666667,9889.020833333332,10424.041666666668,11744.479166666662,12215.5,13911.9375,14274.041666666659,12987.958333333338,41.714494,-87.64309899999999,81
5022,22.129125,65.41333333333334,0.6383333333333333,55.658874999999995,10836.875,11249.916666666662,12015.041666666662,12567.458333333338,13949.916666666659,14608.416666666659,13524.583333333341,41.857797,-87.685806,81
5023,22.934583333333336,61.47216666666667,0.7953333333333332,55.44675000000001,10358.166666666668,10738.541666666668,11765.583333333338,12220.5,13308.1875,14419.9375,13678.4375,41.866349,-87.710543,81
5024,25.178083333333337,71.03999999999999,8.066749999999999,81.17004166666666,13790.9375,15115.625,16038.104166666659,16975.375,19292.6875,20677.6875,17729.1875,41.751238,-87.71299,81
5025,22.878,100.0,8.973666666666666,60.746249999999996,12665.979166666662,14266.041666666659,14606.375,15551.770833333341,17941.5625,18283.166666666664,15728.0625,41.968757000000004,-87.679174,81
5026,23.115583333333333,58.965916666666665,5.250416666666666,40.10541666666667,9032.645833333332,9591.6875,10489.020833333332,10795.979166666668,13072.458333333338,13169.625,12136.1875,41.808594,-87.665048,81
5027,23.419083333333337,58.71375,1.0759166666666666,67.336125,10021.0,10860.833333333332,12017.145833333338,12672.625,15045.291666666659,14998.291666666659,13765.75,41.786756,-87.664343,81
5028,22.417666666666666,59.565999999999995,3.2149166666666673,54.89933333333334,12550.5,13316.541666666659,14521.875,15084.375,15735.3125,17893.333333333336,17417.145833333336,41.751295,-87.605288,81
5029,25.08883333333333,53.98000000000001,0.6265000000000001,68.21758333333334,11512.5625,12193.729166666662,12837.979166666662,13315.208333333341,14778.083333333341,15467.270833333341,14473.458333333341,41.924903,-87.687703,81
5030,21.136583333333334,65.39458333333333,0.5831666666666666,25.861,10288.0625,10787.395833333332,11744.520833333338,12061.541666666662,13937.5625,14570.5,13691.979166666659,41.943263,-87.688069,81
5031,22.346874999999997,68.67683333333333,10.136666666666667,55.387,9366.666666666668,9304.770833333332,9989.375,9615.458333333332,16522.604166666664,13015.958333333338,10667.458333333332,41.810342,-87.590228,81
